url,title,recommended_action,why,gsc_clicks,gsc_impressions,gsc_position,crawl_word_count,crawl_inlinks,batch
https://bitcoininfonews.com/7-next-meme-coins-to-explode-in-2025-mobu-leads-the-pack/,7 Next Meme Coins to Explode in 2025: MOBU Leads the Pack,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,2128,66,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/analyst-confident-of-a-shib-surge-to-0-0002-as-dtx-is-set-to-give-the-meme-coin-a-run/,Analyst confident of a SHIB surge to $0.0002 as DTX is set to give the meme coin a run,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1477,30,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/analyst-xrp-price-rise-prediction/,XRP Price Prediction: Analyst Sees Potential Rise,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1417,30,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/based-eggman-redefines-meme-coins/,Based Eggman ($GGs) Redefines Meme Coins on Coinbase Base,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1441,39,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/best-meme-coins-for-exponential-returns-apc-banana-for-scale-doginme/,"Best Meme Coins for Exponential Returns – APC, Banana for Scale, Doginme",noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1698,45,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/best-meme-coins-to-join-this-month-troller-cat-floki-and-why-take-center-stage/,"Best Meme Coins to Join This Month: Troller Cat, FLOKI, and WHY Take Center Stage",noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,2095,57,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/binance-alpha-solana-meme-coins/,Binance Alpha Adds Solana Meme Coins MOODENG and GOAT,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1377,18,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/binance-co-ceo-hacked-wechat-meme-coin/,Binance Co-CEO He Yi's WeChat Hacked; Meme Coin Promoted,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1441,24,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/binance-cz-photo-policy-meme-coins/,Binance's CZ Clarifies Event Photo Policy on Meme Coins,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1407,51,batch_6_noindex_content_cleanup
https://bitcoininfonews.com/bitcoin-88k-meme-coins-rise/,Bitcoin Reaches $88K Amid Meme Coin Surge,noindex_now,Currently indexable; 0 clicks in GSC and this batch is dominated by low-value meme coin / price prediction content.,0,0,,1276,24,batch_6_noindex_content_cleanup
