url,title,action,matched_rule,reason,gsc_clicks,gsc_impressions,gsc_position,crawl_status_code,crawl_indexability,crawl_indexability_status,crawl_word_count,crawl_inlinks,batch
https://bitcoininfonews.com/10000x-roi-potential-identifying-the-best-presale-coin-to-buy-in-january-2026/,"10,000x ROI Potential: Identifying the Best Presale Coin to Buy in January 2026",prune_now,phrase_presale|phrase_buy_now|phrase_roi,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1806,30,batch_4_content_quality_review
https://bitcoininfonews.com/100x-potential-alert-smart-investors-are-accumulating-zkp-as-the-best-crypto-to-buy-now/,100x Potential Alert: Smart Investors Are Accumulating ZKP as the Best Crypto to Buy Now,prune_now,brand_zkp|phrase_buy_now|phrase_roi,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1534,21,batch_4_content_quality_review
https://bitcoininfonews.com/200m-coins-released-daily-investors-move-to-zero-knowledge-proofs-live-presale-auction-as-cardano-and-ethereum-stall/,200M Coins Released Daily: Investors Move to Zero Knowledge Proof’s Live Presale Auction as Cardano and Ethereum Stall,prune_now,brand_zkp|phrase_presale,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1896,30,batch_4_content_quality_review
https://bitcoininfonews.com/2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,2025’s Biggest Presale Showdown: Pepenode vs MaxiDoge vs BlockDAG,prune_now,brand_blockdag|brand_pepenode|brand_maxi_doge|phrase_presale,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1490,54,batch_4_content_quality_review
https://bitcoininfonews.com/2900-roi-2x-offer-btfd-coin-is-the-best-crypto-to-buy-now-presale-ends-may-26-as-floki-and-ponke-go-parabolic/,2900% ROI? 2X Offer? BTFD Coin Is the Best Crypto to Buy NOW (Presale Ends May 26) as Floki and Ponke Go Parabolic,prune_now,brand_btfd|phrase_presale|phrase_buy_now|phrase_roi|phrase_bonus,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,2319,63,batch_4_content_quality_review
https://bitcoininfonews.com/2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,$2K to $120K? Top New Meme Coins to Buy and Hold for Short Term: Snag BTFD at $0.0002 with 2x Bonus While SHIB and AI16Z Cool Off,prune_now,brand_btfd|phrase_bonus,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,2097,21,batch_4_content_quality_review
https://bitcoininfonews.com/3-meme-coins-to-buy-now-neiro-and-ski-mask-dog-top-the-list-as-clocks-ticking-on-this-whitelist/,3 Meme Coins to Buy Now: Neiro and Ski Mask Dog Top the List as Clock’s Ticking on This Whitelist,prune_now,phrase_buy_now|phrase_bonus,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1954,57,batch_4_content_quality_review
https://bitcoininfonews.com/3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,3 Top New Meme Coins to Join Today: BTFD's FINAL100 Bonus and 200% ROI Window Closes Soon—SHIB and DOGE Already Booming!,prune_now,brand_btfd|phrase_roi|phrase_bonus,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1631,63,batch_4_content_quality_review
https://bitcoininfonews.com/4-best-presale-crypto-projects-to-watch-zero-knowledge-proof-deepsnitch-ai-blockdag-bitcoin-hyper/,"4 Best Presale Crypto Projects to Watch: Zero Knowledge Proof, DeepSnitch AI, BlockDAG & Bitcoin Hyper",prune_now,brand_blockdag|brand_zkp|brand_bitcoin_hyper|brand_deepsnitch|phrase_presale|phrase_buy_now,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1639,33,batch_4_content_quality_review
https://bitcoininfonews.com/4-best-presale-crypto-to-buy-early-bitcoin-hyper-pepenode-maxi-doge-zero-knowledge-proofs/,"4 Best Presale Crypto to Buy Early: Bitcoin Hyper, PepeNode, Maxi Doge & Zero Knowledge Proof's",prune_now,brand_zkp|brand_bitcoin_hyper|brand_pepenode|brand_maxi_doge|phrase_presale|phrase_buy_now,Strong promo/search-first brand or sales pattern.,0,0,,200,Indexable,,1743,24,batch_4_content_quality_review
