url,title,action,matched_rule,reason,gsc_clicks,gsc_impressions,gsc_position,crawl_status_code,crawl_indexability,crawl_indexability_status,crawl_word_count,crawl_inlinks,batch
https://bitcoininfonews.com/7-next-meme-coins-to-explode-in-2025-mobu-leads-the-pack/,7 Next Meme Coins to Explode in 2025: MOBU Leads the Pack,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,2128,66,batch_4_content_quality_review
https://bitcoininfonews.com/analyst-confident-of-a-shib-surge-to-0-0002-as-dtx-is-set-to-give-the-meme-coin-a-run/,Analyst confident of a SHIB surge to $0.0002 as DTX is set to give the meme coin a run,keep_noindex_review,topic_meme_coin|topic_analysis,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1477,30,batch_4_content_quality_review
https://bitcoininfonews.com/analyst-xrp-price-rise-prediction/,XRP Price Prediction: Analyst Sees Potential Rise,keep_noindex_review,topic_price_prediction,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1417,30,batch_4_content_quality_review
https://bitcoininfonews.com/based-eggman-redefines-meme-coins/,Based Eggman ($GGs) Redefines Meme Coins on Coinbase Base,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1441,39,batch_4_content_quality_review
https://bitcoininfonews.com/best-meme-coins-for-exponential-returns-apc-banana-for-scale-doginme/,"Best Meme Coins for Exponential Returns – APC, Banana for Scale, Doginme",keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1698,45,batch_4_content_quality_review
https://bitcoininfonews.com/best-meme-coins-to-join-this-month-troller-cat-floki-and-why-take-center-stage/,"Best Meme Coins to Join This Month: Troller Cat, FLOKI, and WHY Take Center Stage",keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,2095,57,batch_4_content_quality_review
https://bitcoininfonews.com/binance-alpha-solana-meme-coins/,Binance Alpha Adds Solana Meme Coins MOODENG and GOAT,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1377,18,batch_4_content_quality_review
https://bitcoininfonews.com/binance-co-ceo-hacked-wechat-meme-coin/,Binance Co-CEO He Yi's WeChat Hacked; Meme Coin Promoted,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1441,24,batch_4_content_quality_review
https://bitcoininfonews.com/binance-cz-photo-policy-meme-coins/,Binance's CZ Clarifies Event Photo Policy on Meme Coins,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1407,51,batch_4_content_quality_review
https://bitcoininfonews.com/bitcoin-88k-meme-coins-rise/,Bitcoin Reaches $88K Amid Meme Coin Surge,keep_noindex_review,topic_meme_coin|topic_analysis,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1276,24,batch_4_content_quality_review
https://bitcoininfonews.com/bitcoin-bullish-outlook-october/,Bitcoin Price Predictions Show Bullish Outlook for October 4,keep_noindex_review,topic_price_prediction|topic_analysis,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1360,27,batch_4_content_quality_review
https://bitcoininfonews.com/bitcoin-price-prediction-10-million/,Bitcoin $10 Million Price Prediction Discussed Amid Speculation,keep_noindex_review,topic_price_prediction,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1386,24,batch_4_content_quality_review
https://bitcoininfonews.com/bonk-price-prediction-17000-gains-already-but-troller-cat-might-be-the-next-105x-winner/,"Bonk Price Prediction: 17,000% Gains Already—But Troller Cat Might Be the Next 105x Winner",keep_noindex_review,topic_price_prediction|topic_analysis,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,2131,45,batch_4_content_quality_review
https://bitcoininfonews.com/cardano-ada-price-prediction/,Cardano's ADA Price Prediction Lacks Official Endorsement,keep_noindex_review,topic_price_prediction,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1293,24,batch_4_content_quality_review
https://bitcoininfonews.com/coinbase-base-meme-coin-losses/,"Coinbase's Base Promotes Meme Coin, Traders Face Losses",keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1319,39,batch_4_content_quality_review
https://bitcoininfonews.com/coinbase-solana-meme-coin-useless-listing/,Coinbase Lists Solana Meme Coin USELESS for Spot Trading,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1418,33,batch_4_content_quality_review
https://bitcoininfonews.com/coinbases-base-meme-coin-losses/,"Coinbase's Base Promotes Meme Coin, Traders Face Heavy Losses",keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1301,30,batch_4_content_quality_review
https://bitcoininfonews.com/conor-mcgregor-launches-meme-coin/,Conor McGregor Introduces New Cryptocurrency Meme Coin,keep_noindex_review,topic_meme_coin,"Search-first topical pattern, but softer than hard-sell promo pages.",0,0,,200,Indexable,,1015,21,batch_4_content_quality_review
