url,suggested_target_url,score,coverage,sequence_ratio,reason,live_status_code,live_location
https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-shorts-squeezed,https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,0.726,0.750,0.857,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/banque-syz-crypto-strategy-heir-departure/,https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/,0.769,0.833,0.824,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/binance-adds-spot-pairs-to-altcoin-liquidity-program/,https://bitcoininfonews.com/binance-spot-altcoin-liquidity-enhancement-program-new-pairs-april-2026/,0.732,0.857,0.618,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/binance-alpha-airdrop-opens-today-240-points-minimum/,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,0.735,0.750,0.800,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-bottom-analyst-warns-slide-40000/,https://bitcoininfonews.com/bitcoin-bottom-not-in-analyst-warns-40000-zone/,0.762,0.833,0.791,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-breaks-71000-btc-posts-162-daily-gain/,https://bitcoininfonews.com/bitcoin-breaks-71000-btc-daily-gain/,0.775,0.750,0.875,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-depot-3-6m-hack-sparks-backlash-over-3-day-delay/,https://bitcoininfonews.com/bitcoin-depot-3-6m-hack-three-day-delay-backlash/,0.757,0.800,0.692,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-etf-outflows-accelerate-risk-assets-sell-off,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,0.797,0.875,0.841,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-ethereum-options-1-97-billion-expire-today/,https://bitcoininfonews.com/bitcoin-ethereum-options-expiry-1-97-billion/,0.732,0.750,0.787,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-falls-below-69000-down-on-the-day/,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,0.740,0.833,0.786,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitcoin-holds-70k-ethereum-buy-zone-sec-crypto-framework-weekend-crypto-roundup/,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,0.811,0.818,0.884,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/bitget-delist-blum-usdt-token,https://bitcoininfonews.com/bitget-delist-blum-usdt/,0.817,0.800,0.885,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/blackrock-ethereum-etf-surpasses-250m-aum-first-week/,https://bitcoininfonews.com/blackrock-ethereum-etf-250-million-aum-first-week/,0.721,0.750,0.832,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/boyaa-interactive-70-million-budget-cryptocurrency/,https://bitcoininfonews.com/boyaa-interactive-70-million-cryptocurrency-acquisition/,0.795,0.833,0.819,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-why-it-is-so-hard-to-hack/,https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-hard-to-hack/,0.772,0.750,0.860,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-warning-hits-coinbase-robinhood-figure/,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,0.800,0.800,0.910,"Likely match, but keep manual review because similarity is not strong enough.",404,
https://bitcoininfonews.com/crypto-market-drops-for-second-day-btc-falls-below-71000-layer-2-tokens-plunge-6/,https://bitcoininfonews.com/crypto-market-drops-second-day-btc-below-71000-layer-2-decline/,0.721,0.714,0.817,"Likely match, but keep manual review because similarity is not strong enough.",404,
