url,inlinks,indexability_status,reason,batch
https://bitcoininfonews.com/cdn-cgi/l/email-protection,34,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/bitcoin-spot-etfs-record-167m-net-inflow-ending-3-day-outflow-streak/,5,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/bitcoin-enters-reset-period-after-pullback-from-highs-what-the-consolidation-means/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-monero-eyes-upside/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/fed-rate-hike-odds-bank-of-america-conditions/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/solana-launches-sdp-api-based-development-platform-for-institutions/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/starknet-leads-layer-2-developer-activity-in-ethereum-scaling-race/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/xrp-bullish-reversal-3-factors-shib-night-struggle/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/xrp-leads-institutional-crypto-inflows-surpassing-btc-and-eth/,4,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/341m-crypto-liquidations-hit-shorts-in-24-hours/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-the-fed/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/bitcoin-steadies-after-sell-off-crypto-news-march-23-2026/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/coinbase-to-launch-icnt-usd-spot-trading-pair-for-impossible-cloud-network/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-why-it-is-so-hard-to-hack/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/crypto-news-today-key-overnight-developments-march-26-27-2026/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/ethereum-spot-etfs-record-207m-net-outflows-as-blackrocks-etha-sheds-285m/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/european-parliament-approves-eu-us-trade-agreement-crypto-market-impact/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/ftc-us-citizens-lose-3-5b-to-imposter-scams-in-one-year/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/genius-act-stablecoin-rule-proposal-reaches-treasury/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/goliath-ventures-files-bankruptcy-amid-328-million-crypto-ponzi-allegations/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/interactive-brokers-crypto-trading-expands-to-europe/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/japan-financial-giant-says-xrp-will-be-very-expensive/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
https://bitcoininfonews.com/justin-sun-slams-trump-backed-wlfi-after-75m-defi-loan/,3,Client Error,internal broken target with recorded inlinks,batch_1_internal_link_cleanup_and_404_mapping
